Actual Price,Predicted Price
0.226073816,0.22796668
0.22541298,0.22648449
0.22541298,0.22534154
0.22541298,0.22457135
0.231362253,0.22449785
0.235328257,0.22848104
0.23400642,0.2357156
0.231362253,0.23303461
0.231362253,0.23140523
0.232684299,0.23180053
0.226328745,0.23140523
0.225660697,0.22805992
0.225660697,0.22413625
0.22365807,0.22423181
0.220319703,0.222487
0.222322762,0.2219299
0.220987394,0.21993344
0.221654832,0.22027424
0.222322762,0.22117983
0.220319703,0.22126888
0.218984619,0.22027424
0.219652161,0.21766052
0.222322762,0.21727191
0.221654832,0.22116709
0.222990394,0.21999237
0.220319703,0.22223416
0.219652161,0.22001186
0.220987394,0.21800919
0.220987394,0.21994436
0.224325553,0.21952492
0.224325553,0.22254294
0.22365807,0.22336172
0.222990394,0.2234612
0.22365807,0.2218681
0.222990394,0.22379108
0.218984619,0.22141536
0.222322762,0.21766052
0.216981545,0.2195042
0.218984619,0.21765478
0.221654832,0.21767122
0.218316987,0.21987575
0.220319703,0.21685812
0.218984619,0.21999237
0.220319703,0.21717982
0.227663875,0.21974015
0.228331462,0.22425409
0.233672559,0.22427538
0.237678215,0.22879304
0.243019462,0.23464559
0.243019462,0.23862676
0.245689884,0.24250925
0.247692943,0.23727891
0.243687093,0.2440054
0.245022163,0.23756334
0.240348876,0.24261941
0.238346055,0.23511262
0.239681229,0.2386909
0.240348876,0.23880048
0.239681229,0.23548119
0.238346055,0.23880048
0.24435474,0.23392951
0.242351815,0.24281096
0.24435474,0.24234088
0.246357769,0.23703411
0.24435474,0.23862676
0.242351815,0.23751988
0.241016507,0.23664851
0.240348876,0.24158493
0.240348876,0.23546235
0.237010613,0.23546235
0.246357769,0.233877
0.246357769,0.23862676
0.24937731,0.24329647
0.250725091,0.24838261
0.252747178,0.24668588
0.250725091,0.24781074
0.244659379,0.2490054
0.236571416,0.23722799
0.231179282,0.23844184
0.230505511,0.22927037
0.233201385,0.22835863
0.237919241,0.23170729
0.233875468,0.2370481
0.236571416,0.23258917
0.237245396,0.23713955
0.233875468,0.23753515
0.237245396,0.23289375
0.237245396,0.23683749
0.240615368,0.23798701
0.239267215,0.2405766
0.237919241,0.23880048
0.241963372,0.23798701
0.240615368,0.24248569
0.240615368,0.24019913
0.243311033,0.2351424
0.246681243,0.24329647
0.243984982,0.23756334
0.241289422,0.242591
0.23859328,0.23498428
0.232527688,0.23425606
0.230505511,0.22841986
0.230505511,0.22786182
0.226461351,0.22750811
0.223765403,0.226997
0.224439591,0.22433047
0.227135494,0.22466035
0.225787491,0.22562575
0.223091528,0.2229502
0.223765403,0.22027487
0.22039561,0.22426689
0.234549373,0.21951847
