Actual Price,Predicted Price
2.99e-06,1.49261305e-05
3.03e-06,1.49261305e-05
3e-06,1.49261305e-05
2.92e-06,1.49261305e-05
2.9e-06,1.49261305e-05
2.98e-06,1.49261305e-05
3.04e-06,1.49261305e-05
2.93e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.7e-06,1.49261305e-05
2.67e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.6e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.69e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.8e-06,1.49261305e-05
2.84e-06,1.49261305e-05
2.79e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.8e-06,1.49261305e-05
2.82e-06,1.49261305e-05
2.78e-06,1.49261305e-05
2.75e-06,1.49261305e-05
2.74e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.76e-06,1.49261305e-05
2.78e-06,1.49261305e-05
2.68e-06,1.49261305e-05
2.87e-06,1.49261305e-05
2.87e-06,1.49261305e-05
2.9e-06,1.49261305e-05
2.85e-06,1.49261305e-05
2.82e-06,1.49261305e-05
2.73e-06,1.49261305e-05
2.6e-06,1.49261305e-05
2.59e-06,1.49261305e-05
2.59e-06,1.49261305e-05
2.58e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.67e-06,1.49261305e-05
2.62e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.37e-06,1.49261305e-05
2.36e-06,1.49261305e-05
2.41e-06,1.49261305e-05
2.37e-06,1.49261305e-05
2.43e-06,1.49261305e-05
2.39e-06,1.49261305e-05
2.44e-06,1.49261305e-05
2.48e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.46e-06,1.49261305e-05
2.43e-06,1.49261305e-05
2.5e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.46e-06,1.49261305e-05
2.47e-06,1.49261305e-05
2.45e-06,1.49261305e-05
2.44e-06,1.49261305e-05
2.35e-06,1.49261305e-05
2.29e-06,1.49261305e-05
2.29e-06,1.49261305e-05
2.27e-06,1.49261305e-05
2.3e-06,1.49261305e-05
2.22e-06,1.49261305e-05
2.24e-06,1.49261305e-05
2.23e-06,1.49261305e-05
2.22e-06,1.49261305e-05
2.09e-06,1.49261305e-05
2.05e-06,1.49261305e-05
2.01e-06,1.49261305e-05
2.08e-06,1.49261305e-05
2.09e-06,1.49261305e-05
2.05e-06,1.49261305e-05
2.08e-06,1.49261305e-05
2.04e-06,1.49261305e-05
2.01e-06,1.49261305e-05
1.99e-06,1.49261305e-05
1.95e-06,1.49261305e-05
