Date,Actual,Predicted
2018-04-16,94.16999817,68.357285
2018-04-17,96.06999969,68.357285
2018-04-18,96.44000244,68.357285
2018-04-19,96.11000061,68.357285
2018-04-20,95.0,68.357285
2018-04-23,95.34999847,68.357285
2018-04-24,93.12000275,68.357285
2018-04-25,92.30999756,68.357285
2018-04-26,94.26000214,68.357285
2018-04-27,95.81999969,68.357285
2018-04-30,93.51999664,68.357285
2018-05-01,95.0,68.357285
2018-05-02,93.51000214,68.357285
2018-05-03,94.06999969,68.357285
2018-05-04,95.16000366,68.357285
2018-05-07,96.22000122,68.357285
2018-05-08,95.80999756,68.357285
2018-05-09,96.94000244,68.357285
2018-05-10,97.91000366,68.357285
2018-05-11,97.69999695,68.357285
2018-05-14,98.02999878,68.357285
2018-05-15,97.31999969,68.357285
2018-05-16,97.15000153,68.357285
2018-05-17,96.18000031,68.357285
2018-05-18,96.36000061,68.357285
2018-05-21,97.59999847,68.357285
2018-05-22,97.5,68.357285
2018-05-23,98.66000366,68.357285
2018-05-24,98.30999756,68.357285
2018-05-25,98.36000061,68.357285
2018-05-29,98.01000214,68.357285
2018-05-30,98.94999695,68.357285
2018-05-31,98.83999634,68.357285
2018-06-01,100.7900009,68.357285
2018-06-04,101.6699982,68.357285
2018-06-05,102.1900024,68.357285
2018-06-06,102.4899979,68.357285
2018-06-07,100.8799973,68.357285
2018-06-08,101.6299973,68.357285
2018-06-11,101.0500031,68.357285
2018-06-12,101.3099976,68.357285
2018-06-13,100.8499985,68.357285
2018-06-14,101.4199982,68.357285
2018-06-15,100.1299973,68.357285
2018-06-18,100.8600006,68.357285
2018-06-19,100.8600006,68.357285
2018-06-20,101.8700027,68.357285
2018-06-21,101.1399994,68.357285
2018-06-22,100.4100037,68.357285
2018-06-25,98.38999939,68.357285
2018-06-26,99.08000183,68.357285
2018-06-27,97.54000092,68.357285
2018-06-28,98.62999725,68.357285
2018-06-29,98.61000061,68.357285
2018-07-02,100.0100021,68.357285
2018-07-03,99.05000305,68.357285
2018-07-05,99.76000214,68.357285
2018-07-06,101.1600037,68.357285
2018-07-09,101.8499985,68.357285
2018-07-10,102.1200027,68.357285
2018-07-11,101.9800034,68.357285
2018-07-12,104.1900024,68.357285
2018-07-13,105.4300003,68.357285
2018-07-16,104.9100037,68.357285
2018-07-17,105.9499969,68.357285
2018-07-18,105.1200027,68.357285
2018-07-19,104.4000015,68.357285
2018-07-20,106.2699966,68.357285
2018-07-23,107.9700012,68.357285
2018-07-24,107.6600037,68.357285
2018-07-25,110.8300018,68.357285
2018-07-26,109.6200027,68.357285
2018-07-27,107.6800003,68.357285
2018-07-30,105.3700027,68.357285
2018-07-31,106.0800018,68.357285
2018-08-01,106.2799988,68.357285
2018-08-02,107.5699997,68.357285
2018-08-03,108.0400009,68.357285
2018-08-06,108.1299973,68.357285
2018-08-07,108.8799973,68.357285
2018-08-08,109.4899979,68.357285
2018-08-09,109.6699982,68.357285
2018-08-10,109.0,68.357285
2018-08-13,108.2099991,68.357285
2018-08-14,109.5599976,68.357285
2018-08-15,107.6600037,68.357285
2018-08-16,107.6399994,68.357285
2018-08-17,107.5800018,68.357285
2018-08-20,106.8700027,68.357285
2018-08-21,105.9800034,68.357285
2018-08-22,107.0599976,68.357285
2018-08-23,107.5599976,68.357285
2018-08-24,108.4000015,68.357285
2018-08-27,109.5999985,68.357285
2018-08-28,110.2600021,68.357285
2018-08-29,112.0199966,68.357285
2018-08-30,111.9499969,68.357285
2018-08-31,112.3300018,68.357285
2018-09-04,111.7099991,68.357285
2018-09-05,108.4899979,68.357285
2018-09-06,108.7399979,68.357285
2018-09-07,108.2099991,68.357285
2018-09-10,109.3799973,68.357285
2018-09-11,111.2399979,68.357285
2018-09-12,111.7099991,68.357285
2018-09-13,112.9100037,68.357285
2018-09-14,113.3700027,68.357285
2018-09-17,112.1399994,68.357285
2018-09-18,113.2099991,68.357285
2018-09-19,111.6999969,68.357285
2018-09-20,113.5699997,68.357285
2018-09-21,114.2600021,68.357285
2018-09-24,114.6699982,68.357285
2018-09-25,114.4499969,68.357285
2018-09-26,113.9800034,68.357285
2018-09-27,114.4100037,68.357285
2018-09-28,114.3700027,68.357285
2018-10-01,115.6100006,68.357285
2018-10-02,115.1500015,68.357285
2018-10-03,115.1699982,68.357285
2018-10-04,112.7900009,68.357285
2018-10-05,112.1299973,68.357285
2018-10-08,110.8499985,68.357285
2018-10-09,112.2600021,68.357285
2018-10-11,105.9100037,68.357285
2018-10-12,109.5699997,68.357285
2018-10-15,107.5999985,68.357285
2018-10-16,111.0,68.357285
2018-10-17,110.7099991,68.357285
2018-10-18,108.5,68.357285
2018-10-19,108.6600037,68.357285
2018-10-22,109.6299973,68.357285
2018-10-23,108.0999985,68.357285
2018-10-26,106.9599991,68.357285
2018-10-29,103.8499985,68.357285
2018-10-30,103.7300034,68.357285
2018-10-31,106.8099976,68.357285
2018-11-01,105.9199982,68.357285
2018-11-02,106.1600037,68.357285
2018-11-05,107.5100021,68.357285
2018-11-06,107.7200012,68.357285
2018-11-07,111.9599991,68.357285
2018-11-08,111.75,68.357285
2018-11-09,109.5699997,68.357285
2018-11-12,106.8700027,68.357285
2018-11-13,106.9400024,68.357285
2018-11-14,104.9700012,68.357285
2018-11-15,107.2799988,68.357285
2018-11-16,108.2900009,68.357285
2018-11-19,104.6200027,68.357285
2018-11-20,101.7099991,68.357285
2018-11-21,103.1100006,68.357285
2018-11-23,103.0699997,68.357285
2018-11-26,106.4700012,68.357285
2018-11-27,107.1399994,68.357285
2018-11-28,111.1200027,68.357285
2018-11-29,110.1900024,68.357285
2018-11-30,110.8899994,68.357285
2018-12-03,112.0899963,68.357285
2018-12-04,108.5199966,68.357285
2018-12-06,109.1900024,68.357285
2018-12-07,104.8199997,68.357285
2018-12-10,107.5899963,68.357285
2018-12-11,108.5899963,68.357285
2018-12-12,109.0800018,68.357285
2018-12-13,109.4499969,68.357285
2018-12-14,106.0299988,68.357285
2018-12-17,102.8899994,68.357285
2018-12-18,103.9700012,68.357285
2018-12-19,103.6900024,68.357285
2018-12-20,101.5100021,68.357285
2018-12-21,98.23000336,68.357285
2018-12-24,94.12999725,68.357285
2018-12-27,101.1800003,68.357285
2018-12-28,100.3899994,68.357285
2018-12-31,101.5699997,68.357285
2019-01-02,101.1200027,68.357285
2019-01-03,97.40000153,68.357285
2019-01-04,101.9300003,68.357285
2019-01-07,102.0599976,68.357285
2019-01-08,102.8000031,68.357285
2019-01-09,104.2699966,68.357285
2019-01-10,103.5999985,68.357285
2019-01-11,102.8000031,68.357285
2019-01-14,102.0500031,68.357285
2019-01-15,105.0100021,68.357285
2019-01-16,105.3799973,68.357285
2019-01-17,106.1200027,68.357285
2019-01-18,107.7099991,68.357285
2019-01-22,105.6800003,68.357285
2019-01-23,106.7099991,68.357285
2019-01-24,106.1999969,68.357285
2019-01-25,107.1699982,68.357285
2019-01-28,105.0800018,68.357285
2019-01-29,102.9400024,68.357285
2019-01-30,106.3799973,68.357285
2019-01-31,104.4300003,68.357285
2019-02-01,102.7799988,68.357285
2019-02-04,105.7399979,68.357285
2019-02-05,107.2200012,68.357285
2019-02-06,106.0299988,68.357285
2019-02-07,105.2699966,68.357285
2019-02-08,105.6699982,68.357285
2019-02-11,105.25,68.357285
