Date,Adj Close,Close,High,Low,Open,Volume
19-01-2022,25.02538109,25.06699944,26.54299927,25.05200005,26.07900047,488315000
20-01-2022,24.10990524,24.14999962,25.57900047,24.07799911,25.30400085,435181000
21-01-2022,23.33519173,23.37400055,24.82299995,23.26300049,23.50699997,718958000
24-01-2022,23.33319473,23.37199974,23.37999916,20.88800049,22.32999992,913982000
25-01-2022,22.28693581,22.3239994,22.94300079,22,22.54599953,664616000
26-01-2022,22.73418808,22.77199936,24.05699921,22.29999924,23.23999977,755959000
27-01-2022,21.90756607,21.94400024,23.99500084,21.67499924,23.56800079,573353000
28-01-2022,22.80207825,22.84000015,22.8579998,21.29599953,22.01199913,543774000
31-01-2022,24.44534683,24.48600006,24.50900078,23.05200005,23.18199921,564680000
01-02-2022,24.59709167,24.63800049,25.14500046,23.88999939,25.10400009,518925000
02-02-2022,25.20009041,25.24200058,25.81699944,24.5529995,25.79400063,543419000
03-02-2022,23.90823936,23.94799995,25.07699966,23.78000069,24.45800018,410178000
04-02-2022,24.27862167,24.31900024,24.63500023,23.63199997,23.97200012,354829000
07-02-2022,24.68693924,24.72800064,25.18199921,24.20199966,24.37199974,376868000
08-02-2022,25.06631088,25.1079998,25.22999954,23.97999954,24.35899925,410359000
09-02-2022,26.66065788,26.70499992,26.72500038,25.35300064,25.62199974,524282000
10-02-2022,25.78111839,25.8239994,26.92499924,25.60000038,25.99500084,513200000
11-02-2022,23.90923882,23.9489994,26.15200043,23.77300072,25.91600037,605472000
14-02-2022,24.22670555,24.2670002,24.875,23.75499916,23.93400002,440424000
15-02-2022,26.45101166,26.49500084,26.54500008,24.7840004,24.9489994,699869000
16-02-2022,26.4669838,26.51099968,26.58200073,25.55200005,26.25900078,732676000
17-02-2022,24.4663105,24.50699997,25.78499985,24.16500092,25.62999916,810595000
18-02-2022,23.60274315,23.6420002,24.98600006,23.10000038,24.66799927,761255000
22-02-2022,23.35116577,23.38999939,24.06399918,23,23.03499985,633422000
23-02-2022,22.34982872,22.38699913,24.15500069,22.3010006,23.80200005,566511000
24-02-2022,23.7085743,23.74799919,23.79999924,20.88999939,21.01499939,735801000
25-02-2022,24.11688614,24.15699959,24.21699905,23.38100052,23.72100067,528866000
28-02-2022,24.34451294,24.38500023,24.66500092,23.70700073,23.99200058,477319000
01-03-2022,23.4380188,23.47699928,24.37700081,23.13199997,24.29100037,412056000
02-03-2022,24.18390465,24.21999931,24.4090004,23.41500092,23.75600052,389642000
03-03-2022,23.67865753,23.7140007,24.32600021,23.46899986,24.26199913,365095000
04-03-2022,22.90181923,22.93600082,23.68000031,22.48200035,23.38400078,431415000
07-03-2022,21.32017899,21.35199928,23.03300095,21.32999992,22.81699944,450821000
08-03-2022,21.48194122,21.51399994,22.37299919,20.64999962,21.30900002,557467000
09-03-2022,22.979702,23.01399994,23.21999931,22.24699974,22.38699913,492742000
10-03-2022,22.62423706,22.65800095,22.78800011,21.88199997,22.53100014,428066000
11-03-2022,22.06707001,22.10000038,23.14500046,22.04599953,23.02199936,367209000
14-03-2022,21.29821396,21.32999992,22.26199913,21.1590004,21.86899948,385354000
15-03-2022,22.93876266,22.97299957,23.03800011,21.3220005,21.51799965,491996000
16-03-2022,24.45949364,24.49600029,24.59700012,23.17200089,23.5,671422000
17-03-2022,24.72909164,24.76600075,24.84199905,23.90600014,24.12000084,471941000
18-03-2022,26.41357422,26.45299911,26.56900024,24.62400055,24.79899979,730719000
21-03-2022,26.69415855,26.73399925,27.15200043,25.96699905,26.50699997,591727000
22-03-2022,26.48447227,26.52400017,27.23800087,26.0720005,26.72699928,547007000
23-03-2022,25.59579849,25.63400078,26.61199951,25.57500076,26.12599945,502120000
24-03-2022,28.10804749,28.14999962,28.31999969,25.90699959,26.16600037,877379000
25-03-2022,27.65073395,27.69199944,28.3579998,27.27099991,27.88599968,579016000
28-03-2022,28.17694855,28.21899986,28.25,27.20599937,27.75600052,425494000
29-03-2022,28.6132946,28.65600014,28.94599915,27.97999954,28.69499969,488984000
30-03-2022,27.64873695,27.69000053,28.49600029,27.50300026,28.30400085,463487000
31-03-2022,27.24533272,27.2859993,28.24799919,27.27000046,27.78199959,523440000
01-04-2022,26.67219353,26.71199989,27.49600029,26.2670002,27.375,517235000
04-04-2022,27.31922722,27.36000061,27.55800056,26.61300087,26.72800064,397120000
05-04-2022,25.89235687,25.93099976,27.31900024,25.81999969,27.25399971,436615000
06-04-2022,24.37062454,24.40699959,25.29999924,24.00300026,24.93400002,703833000
07-04-2022,24.17192459,24.20800018,24.72200012,23.47800064,24.44099998,557992000
08-04-2022,23.08454895,23.11899948,23.92300034,23.06200027,23.91699982,524781000
11-04-2022,21.88433647,21.91699982,22.31999969,21.65999985,22.2140007,575207000
12-04-2022,21.47195244,21.50399971,22.72500038,21.28199959,22.53700066,662258000
13-04-2022,22.16991043,22.20299911,22.5,21.45499992,21.72800064,516943000
14-04-2022,21.22631836,21.25799942,22.77700043,21.16300011,22.50499916,569097000
18-04-2022,21.75053978,21.78300095,22.08799934,21.07900047,21.20000076,525701000
19-04-2022,22.1649189,22.19799995,22.37299919,21.31399918,21.71999931,512781000
20-04-2022,21.4499836,21.48200035,22.67000008,21.20000076,22.5170002,468974000
21-04-2022,20.15292358,20.18300056,22.3920002,20,21.70899963,656209000
22-04-2022,19.48591614,19.51499939,20.48600006,19.5,20.3029995,624713000
25-04-2022,19.87234116,19.90200043,19.94499969,19.09600067,19.20199966,641566000
26-04-2022,18.76000023,18.78800011,19.78800011,18.67000008,19.71800041,653143000
27-04-2022,18.38755798,18.41500092,19.16699982,18.29000092,18.59799957,499460000
28-04-2022,19.75251961,19.78199959,20.03700066,18.48999977,18.96699905,570327000
29-04-2022,18.5193634,18.54700089,20.12800026,18.5170002,19.40200043,500435000
02-05-2022,19.5038929,19.53300095,19.5739994,18.39100075,18.54100037,572049000
03-05-2022,19.57278633,19.60199928,19.82500076,19.13299942,19.39999962,475751000
04-05-2022,20.30369759,20.33399963,20.39999962,18.75099945,19.92300034,648855000
05-05-2022,18.81591415,18.84399986,19.92499924,18.5,19.86700058,626331000
06-05-2022,18.64716911,18.67499924,19.51199913,17.98999977,18.73600006,633297000
09-05-2022,16.92473793,16.95000076,18.25499916,16.82699966,18.0340004,644455000
10-05-2022,17.56877708,17.59499931,18.19799995,17.02499962,17.68899918,761474000
11-05-2022,16.60521507,16.62999916,17.75300026,16.56800079,17.34700012,670167000
12-05-2022,16.15089607,16.17499924,16.78800011,15.56700039,16.21899986,708728000
13-05-2022,17.67961311,17.70599937,17.9279995,16.59300041,16.78800011,670437000
16-05-2022,17.23826981,17.26399994,17.78800011,17.1060009,17.50900078,521446000
17-05-2022,18.14990807,18.17700005,18.37100029,17.63400078,18.0739994,585830000
18-05-2022,16.91275787,16.93799973,18.11800003,16.86400032,17.70499992,545161000
19-05-2022,17.09848213,17.12400055,17.68700027,16.73399925,16.93700027,621310000
20-05-2022,16.6691227,16.69400024,17.40999985,15.75500011,17.33200073,739105000
23-05-2022,16.8728199,16.89800072,16.91500092,16.17900085,16.27400017,639889000
24-05-2022,16.12992668,16.15399933,16.59700012,15.77999973,16.51000023,588550000
25-05-2022,16.94970322,16.97500038,17.11100006,16,16.02000046,781132000
26-05-2022,17.82439423,17.85099983,18.09199905,16.02199936,16.0359993,996575000
27-05-2022,18.78296661,18.81100082,18.88100052,18.10000038,18.18600082,738379000
31-05-2022,18.64417267,18.67200089,19.20000076,18.35000038,18.97999954,664100000
01-06-2022,18.29269791,18.31999969,19.0529995,18.12199974,18.72400093,544514000
02-06-2022,19.56280518,19.59199905,19.61899948,18.19799995,18.29199982,648656000
03-06-2022,18.69210243,18.71999931,19.33200073,18.52199936,19.08200073,598779000
06-06-2022,18.75800323,18.7859993,19.33699989,18.56399918,19.13899994,422406000
07-06-2022,18.89779663,18.9260006,19,18.18799973,18.47200012,388914000
08-06-2022,18.62414742,18.64800072,19.18000031,18.53499985,18.79899979,363252000
